lit_id,title,arxiv_id,year,url,status,priority,module_tags,authors,why_matters,limitations
LIT-AMP-011,Full-Atom Peptide Design with Geometric Latent Diffusion,2402.13555,2024,https://arxiv.org/abs/2402.13555,included,useful_next,"module_9,module_5,module_6","Xiangzhe Kong; Yinjun Jia; Wenbing Huang; Yang Liu","Offers full-atom structure-aware generation over binding pockets with shared coordinate transforms; useful for binder quality and cross-target generalization checks.","Need manual verification on benchmark size and docking/structure scoring assumptions for integration with current target structures."
LIT-AMP-012,Zero-Shot Cyclic Peptide Design via Composable Geometric Constraints,2507.04225,2025,https://arxiv.org/abs/2507.04225,included,useful_now,"module_9,module_5,module_6","Dapeng Jiang; Xiangzhe Kong; Jiaqi Han; Mingyu Li; Rui Jiao; Wenbing Huang; Stefano Ermon; Jianzhu Ma; Yang Liu","Zero-shot cyclic design from geometric constraints addresses low-data cyclic settings; explicit mention of multiple cyclization strategies and success-rate sensitivity.","Likely sensitive to backbone and geometry assumptions and downstream chem-synthesis constraints not yet represented in abstract."
LIT-AMP-013,GeoPep: A geometry-aware masked language model for protein-peptide binding site prediction,2510.27040,2025,https://arxiv.org/abs/2510.27040,included,useful_next,"module_9,module_8,module_1","Dian Chen; Yunkai Chen; Tong Lin; Sijie Chen; Xiaolin Cheng","Sparse-data-friendly transfer from ESM3 for protein-peptide binding site prediction; useful for target-site discovery and failure triage before expensive generation.","Sparse structural labels and domain-generalization may be fragile for uncommon folds; inspect calibration before hard gating."
LIT-AMP-014,AutoBinder Agent: An MCP-Based Agent for End-to-End Protein Binder Design,2602.00019,2026,https://arxiv.org/abs/2602.00019,included,must_read_now,"module_8,module_6,module_9","Fukang Ge; Jiarui Zhu; Linjie Zhang; Haowen Xiao; Xiangcheng Bao; Fangnan Xie; Danyang Chen; Yanrui Lu; Yuting Wang; Ziqian Guan; Lin Gu; Jinhao Bi; Yingying Zhu","Practical MCP-orchestrated architecture integrating structure-design tools and LLM planning, directly relevant to your agent specs.","Needs manual validation for failure recovery paths, reproducibility of MCP tool responses, and cost controls when invoking structure tools."
LIT-AMP-015,MAC-AMP: A Closed-Loop Multi-Agent Collaboration System for Multi-Objective Antimicrobial Peptide Design,2602.14926,2026,https://arxiv.org/abs/2602.14926,included,must_read_now,"module_5,module_8,module_3","Gen Zhou; Sugitha Janarthanan; Lianghong Chen; Pingzhao Hu","Closed-loop multi-agent framework with simulated peer-review and multi-objective scoring, matching design-make-test-learn requirements and AMP failure analysis.","Need full-method appendix for exact reward and split protocols before coding production constraints."
LIT-AMP-016,From AI for Science to Agentic Science: A Survey on Autonomous Scientific Discovery,2508.14111,2025,https://arxiv.org/abs/2508.14111,included,useful_next,"module_8,module_7,module_1","Jiaqi Wei et al.","Survey with explicit capability map and workflow stages for autonomous research systems, helping define agent contracts and governance.","General survey scope; translation into peptide-specific protocol still required."
LIT-AMP-017,Autonomous Agents for Scientific Discovery: Orchestrating Scientists, Language, Code, and Physics,2510.09901,2025,https://arxiv.org/abs/2510.09901,included,useful_next,"module_8,module_7","Lianhao Zhou et al.","Taxonomy of agent roles and orchestration patterns useful for designing resilient scientific workflows and human-fallback points.","Literature-wide examples, limited quantitative comparison for wet-lab science stacks."
LIT-AMP-018,AutoResearchBench: Benchmarking AI Agents on Complex Scientific Literature Discovery,2604.25256,2026,https://arxiv.org/abs/2604.25256,included,useful_next,"module_8,module_3,module_2","Lei Xiong et al.","Benchmarks deep research and wide-research retrieval with clearly named failure modes, useful baseline for literature-agent acceptance criteria.","Literature-only benchmark; does not validate wet-lab or peptide-generation quality directly."
LIT-AMP-019,MCP-Cosmos: World Model-Augmented Agents for Complex Task Execution in MCP Environments,2605.09131,2026,https://arxiv.org/abs/2605.09131,included,useful_next,"module_8,module_7,module_3","Giridhar Ganapavarapu; Dhaval Patel","World-model-augmented MCP execution loops improve reliability of tool-driven agents; useful pattern for binder and pipeline orchestrators.","Task transfer risk from general MCP tasks to peptide workflows; needs domain-specific constraints tests."
LIT-AMP-020,The AI Scientist-v2: Workshop-Level Automated Scientific Discovery via Agentic Tree Search,2504.08066,2025,https://arxiv.org/abs/2504.08066,included,useful_next,"module_8,module_7,module_3","Yutaro Yamada et al.","Concrete end-to-end design-test-evaluate flow with execution planning and tree-search controls, usable skeleton for DMTL orchestration.","Domain gap: paper-level automation emphasis requires adaptation for assay and peptide safety controls."
LIT-AMP-021,Why LLMs Aren't Scientists Yet: Failure Modes, Limits, and Opportunities in Autonomous Discovery,2601.03315,2026,https://arxiv.org/abs/2601.03315,included,useful_next,"module_7,module_8,module_3","Sasha Saito; Emily R. Smith; Kenji Tanaka","Explicit failure-mode taxonomy for autonomous scientific workflows; directly maps into failure ontology and red-team scoring.","Preprint with limited peer review; treat failure frequencies and examples as calibration hints only."
